# ind calculated fitted
46 10461.5402218332001212 10457.3456422966119135
47 6052.8955548048998025 6053.6010130221729924
48 10348.8677521610006806 10343.3408186242722877
49 10357.4074095862997638 10352.7964565756647062
50 16756.9946588847014937 16759.1885763069985842
51 7419.5032247665003524 7418.9982585700654454
52 14566.1982833655001741 14572.3535533283466066
53 6207.8851629808996222 6208.6612507544450636
54 7008.5509073369003090 7008.7092562967591221
55 8666.9234076746997744 8665.2405454797517450
56 11789.7309809717007738 11780.9389422745152842
57 6605.2356294395003715 6606.3280341880490596
58 9921.7379023550001875 9917.4463269827756449
59 20677.9113134647013794 20671.6764424326902372
60 8010.8413522808996277 8006.8732790245285287
61 23328.3844935119996080 23314.5530855615797918
62 6472.0431283550997250 6472.9203282906619279
63 12913.0737053740995179 12910.9908678007850540
64 6875.4322438728995621 6876.2181285190126800
65 10857.5524893498004531 10850.8987773903063498
66 25532.4105385582006420 25525.3847066531561723
67 7125.4034812508998584 7127.2994736203436332
68 6089.4680664977995548 6090.9273146188388637
69 23815.2595688282999618 23803.9803640414575057
70 18480.3167156640993198 18485.6632635059213499
71 7219.5640735282995593 7218.8266765273583587
72 11735.1415770926996629 11733.2905681991505844
73 6074.0887301379998462 6074.6862493516709947
74 9378.1714782334001939 9373.1211830674765224
75 19547.9374977330990077 19545.6198700985223695
76 14858.2313395287001185 14847.1124944629118545
77 11777.5963990742002352 11775.7884443772272789
78 22288.0429712000986910 22281.8495597547625948
79 6091.9888820557998770 6093.0556466295602149
80 9437.1627838453005097 9432.7592010749267502
81 7712.1121704628003499 7711.4855205464900791
82 19864.4855506097010220 19861.3080925355716317
83 6372.0015605411999786 6373.7421935371366999
84 7359.1267936624999493 7359.1811961067805896
85 8726.2108319089002180 8724.9168143138012965
86 7005.1673728899995695 7006.5527464678089018
87 10156.9404338216008910 10153.2355765242136840
88 6355.6129237765999278 6358.0822762087591400
89 7060.3671938268998929 7061.8351390995376278
90 6639.9681403310996757 6641.4819399066855112
91 6345.0215933152003345 6345.8448303224977280
92 27515.6024939743983850 27511.5346100823408051
93 19691.3207229395993636 19692.2525001101457747
94 27932.6894937803008361 27932.0017191843580804
95 13347.2586912580991338 13350.3900694443727843
96 25500.0021014133999415 25483.7584203483856982
97 14381.3824935452994396 14372.2180369602538121
98 13548.6574055241999304 13538.8349239721756021
